channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
T-13,MSL,LSTM Autoencoder,0.0,0.0,0.0,0.0,1.0,2129,0,252,0
F-4,MSL,LSTM Autoencoder,0.07709251101321586,0.49295774647887325,0.13333333333333333,0.12689279224712297,0.5070422535211268,2883,419,36,35
F-5,MSL,LSTM Autoencoder,1.0,0.695364238410596,0.8203125,0.0,0.304635761589404,3722,0,46,105
D-14,MSL,LSTM Autoencoder,0.7147887323943662,0.9144144144144144,0.8023715415019763,0.034409515717926935,0.08558558558558559,2273,81,19,203
T-9,MSL,LSTM Autoencoder,0.43783783783783786,0.7232142857142857,0.5454545454545454,0.11122994652406418,0.2767857142857143,831,104,31,81
P-14,MSL,LSTM Autoencoder,0.09372892784895483,0.7679558011049724,0.16706730769230768,0.22896081771720614,0.23204419889502761,4526,1344,42,139
T-8,MSL,LSTM Autoencoder,0.4166666666666667,0.4411764705882353,0.42857142857142855,0.046052631578947366,0.5588235294117647,1305,63,57,45
P-11,MSL,LSTM Autoencoder,0.7566137566137566,0.6271929824561403,0.6858513189448441,0.014119091467157766,0.37280701754385964,3212,46,85,143
D-15,MSL,LSTM Autoencoder,0.4444444444444444,0.0249609984399376,0.047267355982274745,0.013623978201634877,0.9750390015600624,1448,20,625,16
D-16,MSL,LSTM Autoencoder,1.0,0.018433179723502304,0.03619909502262444,0.0,0.9815668202764977,1491,0,639,12
M-7,MSL,LSTM Autoencoder,0.6086956521739131,0.8316831683168316,0.702928870292887,0.026919242273180457,0.16831683168316833,1952,54,17,84
F-8,MSL,LSTM Autoencoder,0.5956284153005464,0.20297951582867785,0.30277777777777776,0.0389268805891636,0.7970204841713222,1827,74,428,109
