channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
T-12,MSL,Isolation Forest,0.04967801287948482,0.4462809917355372,0.08940397350993377,0.4473798181030749,0.5537190082644629,1276,1033,67,54
T-13,MSL,Isolation Forest,0.11003627569528417,0.7222222222222222,0.19097586568730326,0.6758494031221304,0.2777777777777778,706,1472,70,182
F-4,MSL,Isolation Forest,0.03302433371958285,0.8028169014084507,0.06343906510851419,0.4980602805132796,0.19718309859154928,1682,1669,14,57
F-5,MSL,Isolation Forest,0.05755850727387729,0.6026490066225165,0.10508083140877598,0.3951206576504906,0.3973509933774834,2281,1490,60,91
D-14,MSL,Isolation Forest,0.08457142857142858,1.0,0.1559536354056902,1.0,0.0,0,2403,0,222
T-9,MSL,Isolation Forest,0.08512628624883069,0.8125,0.15410668924640136,0.9939024390243902,0.1875,6,978,21,91
P-14,MSL,Isolation Forest,0.029672131147540984,1.0,0.05763413469192804,1.0,0.0,0,5919,0,181
T-8,MSL,Isolation Forest,0.24,0.058823529411764705,0.09448818897637795,0.013408609738884969,0.9411764705882353,1398,19,96,6
P-11,MSL,Isolation Forest,0.14093428345209819,0.7807017543859649,0.23876592890677398,0.3280919262171152,0.21929824561403508,2222,1085,50,178
D-15,MSL,Isolation Forest,0.4395365677045619,0.9469578783151326,0.6003956478733927,0.5102175346077785,0.0530421216848674,743,774,34,607
D-16,MSL,Isolation Forest,0.40959725792630675,0.7342549923195084,0.5258525852585259,0.4474025974025974,0.26574500768049153,851,689,173,478
M-7,MSL,Isolation Forest,0.8620689655172413,0.49504950495049505,0.6289308176100629,0.0038929440389294406,0.504950495049505,2047,8,51,50
F-8,MSL,Isolation Forest,0.27330173775671407,0.3221601489757914,0.29572649572649573,0.2358974358974359,0.6778398510242085,1490,460,364,173
